CMIP5 component [> process],CMIP5 property,CMIP6 Specialization ID
Atmosphere > Convection Cloud Turbulence,Deep Convection > Scheme Method,cmip6.atmos.turbulence_convection.deep_convection.scheme_method
Atmosphere > Convection Cloud Turbulence,Deep Convection > Scheme Name,cmip6.atmos.turbulence_convection.deep_convection.scheme_name
Atmosphere > Convection Cloud Turbulence,Deep Convection > Scheme Type,cmip6.atmos.turbulence_convection.deep_convection.scheme_type
Atmosphere > Convection Cloud Turbulence,Large Scale Precipitation > Precipitating Hydrometeors,cmip6.atmos.microphysics_precipitation.large_scale_precipitation.hydrometeors
Atmosphere > Convection Cloud Turbulence,Large Scale Precipitation > Scheme Name,cmip6.atmos.microphysics_precipitation.large_scale_precipitation.scheme_name
Atmosphere > Convection Cloud Turbulence,Microphysics > Processes,cmip6.atmos.microphysics_precipitation.large_scale_cloud_microphysics.processes
Atmosphere > Convection Cloud Turbulence,Microphysics > Scheme Name,cmip6.atmos.microphysics_precipitation.large_scale_cloud_microphysics.scheme_name
Atmosphere > Convection Cloud Turbulence,Other Convection > Scheme Name,
Atmosphere > Convection Cloud Turbulence,Other Convection > Scheme Type,
Atmosphere > Convection Cloud Turbulence,Shallow Convection > Method,cmip6.atmos.turbulence_convection.shallow_convection.scheme_method
Atmosphere > Convection Cloud Turbulence,Shallow Convection > Scheme Name,cmip6.atmos.turbulence_convection.shallow_convection.scheme_name
Atmosphere > Convection Cloud Turbulence,Shallow Convection > Scheme Type,cmip6.atmos.turbulence_convection.shallow_convection.scheme_type
,,
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Cloud Scheme Attributes > Cloud Overlap,cmip6.atmos.cloud_scheme.optical_cloud_properties.cloud_overlap_method
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Cloud Scheme Attributes > Cloud Overlap Scheme,
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Cloud Scheme Attributes > Processes,cmip6.atmos.cloud_scheme.processes
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Cloud Scheme Attributes > Prognostic Cloud Scheme,cmip6.atmos.cloud_scheme.scheme_type
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Cloud Scheme Attributes > Separated Cloud Treatment,cmip6.atmos.cloud_scheme.uses_separate_treatment
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Sub Grid Scale Water Distribution > Coupling With Convection,cmip6.atmos.cloud_scheme.sub_grid_scale_water_distribution.convection_coupling
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Sub Grid Scale Water Distribution > Function Name,cmip6.atmos.cloud_scheme.sub_grid_scale_water_distribution.function_name
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Sub Grid Scale Water Distribution > Function Order,cmip6.atmos.cloud_scheme.sub_grid_scale_water_distribution.function_order
Atmosphere > Convection Cloud Turbulence > Cloud Scheme,Sub Grid Scale Water Distribution > Type,cmip6.atmos.cloud_scheme.sub_grid_scale_water_distribution.type
,,
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,C O S P Attributes > C O S P Run Configuration,cmip6.atmos.observation_simulation.cosp_attributes.run_configuration
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,C O S P Attributes > Number Of Columns,cmip6.atmos.observation_simulation.cosp_attributes.number_of_sub_columns
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,C O S P Attributes > Number Of Gridpoints,cmip6.atmos.observation_simulation.cosp_attributes.number_of_grid_points
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,C O S P Attributes > Number Of Levels,cmip6.atmos.observation_simulation.cosp_attributes.number_of_levels
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,I S S C P Attributes > Top Height,cmip6.atmos.observation_simulation.isscp_attributes.top_height_estimation_method
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,I S S C P Attributes > Top Height Direction,cmip6.atmos.observation_simulation.isscp_attributes.top_height_direction
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Inputs Lidar > Lidar Ice Type,cmip6.atmos.observation_simulation.lidar_inputs.ice_types
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Inputs Lidar > Overlap,cmip6.atmos.observation_simulation.lidar_inputs.overlap
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Inputs Radar > Radar Frequency,cmip6.atmos.observation_simulation.radar_inputs.frequency
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Inputs Radar > Radar Type,cmip6.atmos.observation_simulation.radar_inputs.type
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Inputs Radar > Use Effective Radius,cmip6.atmos.observation_simulation.radar_inputs.effective_radius
Atmosphere > Convection Cloud Turbulence > Cloud Simulator,Inputs Radar > Use Gas Absorption,cmip6.atmos.observation_simulation.radar_inputs.gas_absorption
,,
Atmosphere > Dynamical Core,Heat Treatment At Top,cmip6.atmos.dynamical_core.top_boundary.top_heat
Atmosphere > Dynamical Core,Horizontal Diffusion > Scheme Method,cmip6.atmos.dynamical_core.diffusion_horizontal.scheme_method
Atmosphere > Dynamical Core,Horizontal Diffusion > Scheme Name,cmip6.atmos.dynamical_core.diffusion_horizontal.scheme_name
Atmosphere > Dynamical Core,Horizontal Discretization > Pole Singularity Treatment,cmip6.atmos.grid.discretisation.horizontal.horizontal_pole
Atmosphere > Dynamical Core,Horizontal Discretization > Scheme Method,cmip6.atmos.grid.discretisation.horizontal.scheme_method
Atmosphere > Dynamical Core,Horizontal Discretization > Scheme Order,cmip6.atmos.grid.discretisation.horizontal.scheme_order
Atmosphere > Dynamical Core,Horizontal Discretization > Scheme Type,cmip6.atmos.grid.discretisation.horizontal.scheme_type
Atmosphere > Dynamical Core,Lateral Boundary Condition,cmip6.atmos.dynamical_core.lateral_boundary.condition
Atmosphere > Dynamical Core,List Of Prognostic Variables,cmip6.atmos.dynamical_core.prognostic_variables
Atmosphere > Dynamical Core,Time Stepping Framework > Scheme Type,cmip6.atmos.dynamical_core.timestepping_type
Atmosphere > Dynamical Core,Time Stepping Framework > Time Step,cmip6.atmos.key_properties.timestepping.timestep_dynamics
Atmosphere > Dynamical Core,Top Boundary Condition,cmip6.atmos.dynamical_core.top_boundary.top_boundary_condition
Atmosphere > Dynamical Core,Wind Treatment At Top,cmip6.atmos.dynamical_core.top_boundary.top_wind
,,
Atmosphere > Dynamical Core > Advection,Momentum > Conservation Method,cmip6.atmos.dynamical_core.advection.momentum.conservation_method
Atmosphere > Dynamical Core > Advection,Momentum > Conserved Quantities,cmip6.atmos.dynamical_core.advection.momentum.conserved_quantities
Atmosphere > Dynamical Core > Advection,Momentum > Scheme Characteristics,cmip6.atmos.dynamical_core.advection.momentum.scheme_characteristics
Atmosphere > Dynamical Core > Advection,Momentum > Scheme Name,cmip6.atmos.dynamical_core.advection.momentum.scheme_name
Atmosphere > Dynamical Core > Advection,Momentum > Scheme Name Detail,
Atmosphere > Dynamical Core > Advection,Momentum > Staggering Type,cmip6.atmos.dynamical_core.advection.momentum.scheme_staggering_type
,,
Atmosphere > Dynamical Core > Advection,Tracers > Conservation Method,cmip6.atmos.dynamical_core.advection.tracers.conservation_method
Atmosphere > Dynamical Core > Advection,Tracers > Conserved Quantities,cmip6.atmos.dynamical_core.advection.tracers.conserved_quantities
Atmosphere > Dynamical Core > Advection,Tracers > Scheme Characteristics,cmip6.atmos.dynamical_core.advection.tracers.scheme_characteristics
Atmosphere > Dynamical Core > Advection,Tracers > Scheme Name,cmip6.atmos.dynamical_core.advection.tracers.scheme_name
,,
Atmosphere > Orography & Waves,Background,cmip6.atmos.gravity_waves.background
Atmosphere > Orography & Waves,Convective Gravity Waves > Dissipation Scheme,
Atmosphere > Orography & Waves,Convective Gravity Waves > Propagation Scheme,
Atmosphere > Orography & Waves,Non- Orographic Gravity Waves > Calculation Method,cmip6.atmos.gravity_waves.non_orographic_gravity_waves.calculation_method
Atmosphere > Orography & Waves,Non- Orographic Gravity Waves > Dissipation Scheme,cmip6.atmos.gravity_waves.non_orographic_gravity_waves.dissipation_scheme
Atmosphere > Orography & Waves,Non- Orographic Gravity Waves > Propagation Scheme,cmip6.atmos.gravity_waves.non_orographic_gravity_waves.propagation_scheme
Atmosphere > Orography & Waves,Non- Orographic Gravity Waves > Source Mechanisms,cmip6.atmos.gravity_waves.non_orographic_gravity_waves.source_mechanisms
Atmosphere > Orography & Waves,Orographic Gravity Waves > Calculation Method,cmip6.atmos.gravity_waves.orographic_gravity_waves.calculation_method
Atmosphere > Orography & Waves,Orographic Gravity Waves > Calculation Method Detail,
Atmosphere > Orography & Waves,Orographic Gravity Waves > Dissipation Scheme,cmip6.atmos.gravity_waves.orographic_gravity_waves.dissipation_scheme
Atmosphere > Orography & Waves,Orographic Gravity Waves > Propagation Scheme,cmip6.atmos.gravity_waves.orographic_gravity_waves.propagation_scheme
Atmosphere > Orography & Waves,Orographic Gravity Waves > Source Mechanisms,cmip6.atmos.gravity_waves.orographic_gravity_waves.source_mechanisms
Atmosphere > Orography & Waves,Sponge Layer,cmip6.atmos.gravity_waves.sponge_layer
Atmosphere > Orography & Waves,Sub Grid Scale Orography,cmip6.atmos.gravity_waves.subgrid_scale_orography
,,
Atmosphere > Radiation,Aerosol Types,cmip6.atmos.radiation.aerosols
Atmosphere > Radiation,Cloud Radiative Properties > Ice,
Atmosphere > Radiation,Cloud Radiative Properties > Liquid,
Atmosphere > Radiation,G H G- Types,
Atmosphere > Radiation,Longwave > Number Of Spectral Intervals,cmip6.atmos.radiation.longwave_radiation.spectral_intervals
Atmosphere > Radiation,Longwave > Scheme Method,cmip6.atmos.radiation.longwave_radiation.transport_calculation
Atmosphere > Radiation,Longwave > Scheme Type,cmip6.atmos.radiation.longwave_radiation.spectral_integration
Atmosphere > Radiation,Longwave > Scheme Type Detail,
Atmosphere > Radiation,Shortwave > Number Of Spectral Intervals,cmip6.atmos.radiation.shortwave_radiation.spectral_intervals
Atmosphere > Radiation,Shortwave > Scheme Type,cmip6.atmos.radiation.shortwave_radiation.spectral_integration
Atmosphere > Radiation,Shortwave > Scheme Type Detail,
Atmosphere > Radiation,Time Step,
